"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_xss_script_tag","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"","4","test_get_order_missing_returns_none","tests","2026-08-05","passed","2026-08-05","TestOrderManager","test_services","",""
"Verify get_available_languages returns loaded locales.","0","test_available_languages","tests","2026-08-05","passed","2026-08-05","TestI18n","test_i18n","",""
"Verify logging middleware logs exceptions and re-raises.","2","test_logs_error_and_re_raises","tests","2026-08-05","passed","2026-08-05","TestLoggingMiddleware","test_middleware","",""
"Newlines must be preserved after escaping.","0","test_newlines_preserved","tests","2026-08-05","passed","2026-08-05","TestEscapeMarkdown","test_fixes","",""
"Verify get_admin_username returns configured username.","1","test_returns_admin_username","tests","2026-08-05","passed","2026-08-05","TestGetAdminUsername","test_auth","",""
"Verify get() falls back to English when language is missing.","1","test_get_fallback_to_en","tests","2026-08-05","passed","2026-08-05","TestI18n","test_i18n","",""
"All Markdown special characters are backslash-escaped.","0","test_sanitize_for_telegram_escapes_all_special_chars","tests","2026-08-05","passed","2026-08-05","TestMarkdownInjection","test_security","",""
"Verify fallback sends error when user sends text instead of button.","1","test_fallback_choosing_document","tests","2026-08-05","passed","2026-08-05","TestFallbacks","test_order","",""
"","1","test_quantity_boundary[qty_1_min]","tests","2026-08-05","passed","2026-08-05","TestQuantityBoundaryValues","test_validation","",""
"","0","test_valid_passport_accepted[standard]","tests","2026-08-05","passed","2026-08-05","TestPassportNumberEquivalenceClasses","test_validation","",""
"Verify validate_config fails when BOT_TOKEN is missing.","0","test_validates_missing_bot_token","tests","2026-08-05","passed","2026-08-05","TestValidateConfig","test_config","",""
"","0","test_passport_number_type_hint","tests","2026-08-05","passed","2026-08-05","TestFieldConstructor","test_validation","",""
"","0","test_phone_default","tests","2026-08-05","passed","2026-08-05","TestDefaultMaxLength","test_validation","",""
"Verify 'Add more' button shows document list again.","1","test_add_more_returns_to_document_list","tests","2026-08-05","passed","2026-08-05","TestAddMoreCart","test_order","",""
"Verify OrderState inherits from StatesGroup.","0","test_order_state_is_statesgroup","tests","2026-08-05","passed","2026-08-05","TestStateGroups","test_states","",""
"","1","test_valid_text_accepted[valid_cyrillic]","tests","2026-08-05","passed","2026-08-05","TestTextEquivalenceClasses","test_validation","",""
"","1","test_invalid_text_rejected[empty]","tests","2026-08-05","passed","2026-08-05","TestTextEquivalenceClasses","test_validation","",""
"Verify all expected AdminState states are defined.","1","test_admin_states_exist","tests","2026-08-05","passed","2026-08-05","TestAdminStates","test_states","",""
"","1","test_build_manager_message_required_keys","tests","2026-08-05","passed","2026-08-05","TestOrderBuilder","test_services","",""
"","1","test_quantity_boundary[qty_2]","tests","2026-08-05","passed","2026-08-05","TestQuantityBoundaryValues","test_validation","",""
"","0","test_has_malicious_patterns_parametrized[safe_date]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Verify choosing a payment method transitions to waiting_for_payment_proof.","0","test_payment_method_sets_state[usdt]","tests","2026-08-05","passed","2026-08-05","TestProcessPayment","test_order","",""
"","0","test_valid_phone_accepted[polish_standard]","tests","2026-08-05","passed","2026-08-05","TestPhoneEquivalenceClasses","test_validation","",""
"","0","test_email_hint","tests","2026-08-05","passed","2026-08-05","TestFieldTypeHint","test_validation","",""
"Verify payment keyboard has all payment methods.","1","test_payment_keyboard_has_methods","tests","2026-08-05","passed","2026-08-05","TestPaymentKeyboard","test_buttons","",""
"Field validation rejects input longer than the field max length.","0","test_validate_field_value_rejects_10000_chars","tests","2026-08-05","passed","2026-08-05","TestLongInput","test_security","",""
"","0","test_valid_phone_accepted[international]","tests","2026-08-05","passed","2026-08-05","TestPhoneEquivalenceClasses","test_validation","",""
"Verify quantity keyboard has buttons 1-5.","0","test_quantity_keyboard_has_numbers_1_to_5","tests","2026-08-05","passed","2026-08-05","TestQuantityKeyboard","test_buttons","",""
"Verify template dict has name_ru, price_pln, fields, etc.","1","test_returned_template_has_required_keys","tests","2026-08-05","passed","2026-08-05","TestGetTemplate","test_business_config","",""
"","1","test_country_code_parametrized[rs]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_country_code_parametrized[ru]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Verify init_db creates all tables.","13","test_init_db_creates_tables","tests","2026-08-05","passed","2026-08-05","TestInitDB","test_crud","",""
"Verify get_document_type returns None for missing code.","2","test_get_document_type_not_found","tests","2026-08-05","passed","2026-08-05","TestDocumentTypeCRUD","test_crud","",""
"","0","test_cmd_injection_pipe","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"Verify each country has en, ru, uk translations.","0","test_country_codes_values_have_required_languages","tests","2026-08-05","passed","2026-08-05","TestConstants","test_business_config","",""
"","0","test_sanitize_removes_excess_spaces","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","0","test_has_malicious_patterns_parametrized[nosql_where]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Test choosing ""Pickup (no delivery)"".

    Verifies that FSM state transitions to choosing_payment.
    ","1","test_callback_delivery_no","tests","2026-08-05","passed","2026-08-05","","test_order","",""
"","1","test_quantity_boundary[qty_0_below]","tests","2026-08-05","passed","2026-08-05","TestQuantityBoundaryValues","test_validation","",""
"Verify 'help_manager' works without current_step.","1","test_help_manager_works_from_main_menu","tests","2026-08-05","passed","2026-08-05","TestCallbackHelpManager","test_start","",""
"Test selecting a ""Foreign passport"" document.

    Verifies correct loading of another document type.
    ","0","test_callback_document_choice_passport","tests","2026-08-05","passed","2026-08-05","","test_order","",""
"Verify orders can be filtered by status.","11","test_get_orders_by_status","tests","2026-08-05","passed","2026-08-05","TestOrderCRUD","test_crud","",""
"Square brackets in user input must be escaped.","1","test_escapes_square_bracket","tests","2026-08-05","passed","2026-08-05","TestEscapeMarkdown","test_fixes","",""
"10000-char input is truncated to the sanitizer limit.","0","test_sanitize_for_telegram_truncates_10000_chars","tests","2026-08-05","passed","2026-08-05","TestLongInput","test_security","",""
"Verify pricing information exists for templates.","0","test_template_price_exists","tests","2026-08-05","passed","2026-08-05","TestGetTemplate","test_documents","",""
"","1","test_valid_country_code_accepted[pl]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"Test choosing ""Delivery needed"".

    Verifies that FSM state transitions to filling_delivery.
    ","1","test_callback_delivery_yes","tests","2026-08-05","passed","2026-08-05","","test_order","",""
"","0","test_invalid_phone_too_short","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"``doc_apostille`` must also resolve correctly.","1","test_process_document_choice_apostille","tests","2026-08-05","passed","2026-08-05","","test_fixes","",""
"","0","test_valid_country_code_accepted[lowercase]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"","1","test_valid_phone","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","1","test_text_cmd_injection_shell_exec","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","0","test_too_long_with_custom_max","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","1","test_nosql_dollar_regex","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"Verify tracking number can be added to order.","7","test_update_order_tracking","tests","2026-08-05","passed","2026-08-05","TestOrderCRUD","test_crud","",""
"Verify PASSPORT_NUMBER_PATTERN is a non-empty regex string.","0","test_passport_number_pattern_is_string","tests","2026-08-05","passed","2026-08-05","TestConstants","test_business_config","",""
"Verify logging middleware logs callback queries.","2","test_logs_callback_event","tests","2026-08-05","passed","2026-08-05","TestLoggingMiddleware","test_middleware","",""
"Verify 'visa' is in the list.","0","test_includes_visa","tests","2026-08-05","passed","2026-08-05","TestGetAllTemplates","test_documents","",""
"Verify /track with order and tracking number works.","0","test_track_with_valid_params","tests","2026-08-05","passed","2026-08-05","TestCmdTrack","test_admin","",""
"","1","test_valid_text","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","0","test_document_price_pln","tests","2026-08-05","passed","2026-08-05","TestPricing","test_services","",""
"Verify payment keyboard has help_manager button.","0","test_payment_keyboard_has_help","tests","2026-08-05","passed","2026-08-05","TestPaymentKeyboard","test_buttons","",""
"Verify /stats returns formatted statistics.","2","test_stats_shows_counts","tests","2026-08-05","passed","2026-08-05","TestCmdStats","test_admin","",""
"","0","test_valid_country_code_accepted[ru]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"Verify /help_admin shows available commands.","1","test_help_admin_shows_commands","tests","2026-08-05","passed","2026-08-05","TestCmdHelpAdmin","test_admin","",""
"Verify specific document prices match expected values.","0","test_specific_known_prices","tests","2026-08-05","passed","2026-08-05","TestGetPriceEur","test_business_config","",""
"Verify specific document prices match expected values.","0","test_specific_known_prices","tests","2026-08-05","passed","2026-08-05","TestGetPricePln","test_business_config","",""
"Verify None language_code falls back to 'en'.","0","test_none_language_code","tests","2026-08-05","passed","2026-08-05","TestUserLanguage","test_i18n","",""
"Verify get_admin_username returns None when not set.","0","test_returns_none_when_not_configured","tests","2026-08-05","passed","2026-08-05","TestGetAdminUsername","test_auth","",""
"[click](http://evil.com) must become plain text, not a link.","0","test_sanitize_for_telegram_escapes_markdown_link","tests","2026-08-05","passed","2026-08-05","TestMarkdownInjection","test_security","",""
"","0","test_valid_date_accepted[start_of_year]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"","0","test_valid_passport_accepted[with_separators]","tests","2026-08-05","passed","2026-08-05","TestPassportNumberEquivalenceClasses","test_validation","",""
"Verify a user can be created.","16","test_create_user","tests","2026-08-05","passed","2026-08-05","TestUserCRUD","test_crud","",""
"Verify non-admin gets alert.","0","test_callback_send_doc_rejects_non_admin","tests","2026-08-05","passed","2026-08-05","TestCallbackSendDoc","test_admin","",""
"","0","test_valid_passport_accepted[min_boundary]","tests","2026-08-05","passed","2026-08-05","TestPassportNumberEquivalenceClasses","test_validation","",""
"","0","test_invalid_phone_rejected[empty]","tests","2026-08-05","passed","2026-08-05","TestPhoneEquivalenceClasses","test_validation","",""
"","0","test_invalid_email_no_at","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","0","test_invalid_passport_rejected[too_long]","tests","2026-08-05","passed","2026-08-05","TestPassportNumberEquivalenceClasses","test_validation","",""
"Verify existing user is not re-registered.","2","test_skips_registration_for_existing_user","tests","2026-08-05","passed","2026-08-05","TestRegistrationMiddleware","test_middleware","",""
"Verify get_price_eur returns 0 for unknown code.","0","test_returns_zero_for_unknown_code","tests","2026-08-05","passed","2026-08-05","TestGetPriceEur","test_business_config","",""
"","0","test_text_sql_information_schema","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Verify each template has required structural keys.","0","test_template_has_required_keys","tests","2026-08-05","passed","2026-08-05","TestGetTemplate","test_documents","",""
"","0","test_invalid_email_rejected[no_at]","tests","2026-08-05","passed","2026-08-05","TestEmailEquivalenceClasses","test_validation","",""
"","0","test_has_malicious_patterns_parametrized[cmd_eval]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_valid_date_accepted[mid_year]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"","0","test_invalid_phone_rejected[non_numeric]","tests","2026-08-05","passed","2026-08-05","TestPhoneEquivalenceClasses","test_validation","",""
"","0","test_valid_country_code_accepted[rs]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"Verify is_admin returns False when ADMIN_USERNAME is None.","1","test_none_admin_username_config","tests","2026-08-05","passed","2026-08-05","TestIsAdmin","test_auth","",""
"","0","test_safe_date_string","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"Verify tracking number is sent to the client.","1","test_process_tracking_number_sends_to_client","tests","2026-08-05","passed","2026-08-05","TestProcessTrackingNumber","test_admin","",""
"Verify delivery with all 4 lines is accepted.","1","test_accepts_full_delivery_with_address","tests","2026-08-05","passed","2026-08-05","TestSaveDelivery","test_order_coverage","",""
"Verify is_admin returns True for matching admin username.","0","test_admin_username_matches","tests","2026-08-05","passed","2026-08-05","TestIsAdmin","test_auth","",""
"","0","test_valid_passport_accepted[max_boundary]","tests","2026-08-05","passed","2026-08-05","TestPassportNumberEquivalenceClasses","test_validation","",""
"Test selecting a nonexistent document.

    Verifies that an invalid document type triggers an error answer.
    ","1","test_callback_document_choice_invalid","tests","2026-08-05","passed","2026-08-05","","test_order","",""
"Verify callback sets FSM state for tracking number.","1","test_callback_send_track_sets_state","tests","2026-08-05","passed","2026-08-05","TestCallbackSendTrack","test_admin","",""
"Verify valid text input is accepted and stored.","1","test_accepts_valid_text_field","tests","2026-08-05","passed","2026-08-05","TestProcessDocumentField","test_order_coverage","",""
"Verify logging middleware logs text messages.","1","test_logs_message_event","tests","2026-08-05","passed","2026-08-05","TestLoggingMiddleware","test_middleware","",""
"Verify valid passport numbers match the pattern.","0","test_valid_passport_numbers","tests","2026-08-05","passed","2026-08-05","TestPassportPattern","test_business_config","",""
"Verify document keyboard contains buttons for each doc type.","1","test_document_keyboard_has_buttons","tests","2026-08-05","passed","2026-08-05","TestDocumentKeyboard","test_buttons","",""
"Verify create_order is called with correct parameters.","5","test_creates_order_with_all_data","tests","2026-08-05","passed","2026-08-05","TestProcessPaymentProof","test_order_coverage","",""
"","0","test_invalid_date_rejected[wrong_separator]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"","0","test_sql_comment","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"Verify get_user_by_username returns None for missing user.","2","test_get_user_by_username_not_found","tests","2026-08-05","passed","2026-08-05","TestUserCRUD","test_crud","",""
"","0","test_invalid_country_code_rejected[too_long]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"","0","test_phone_hint","tests","2026-08-05","passed","2026-08-05","TestFieldTypeHint","test_validation","",""
"Verify a new user is created on first message.","4","test_registers_new_user_on_message","tests","2026-08-05","passed","2026-08-05","TestRegistrationMiddleware","test_middleware","",""
"Verify non-admin user gets rejection message.","1","test_non_admin_user_rejected","tests","2026-08-05","passed","2026-08-05","TestAdminOnlyDecorator","test_auth","",""
"","1","test_valid_text_accepted[valid_latin]","tests","2026-08-05","passed","2026-08-05","TestTextEquivalenceClasses","test_validation","",""
"Verify get() returns exact language match.","0","test_get_exact_language","tests","2026-08-05","passed","2026-08-05","TestI18n","test_i18n","",""
"","0","test_has_malicious_patterns_parametrized[cmd_semicolon]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","1","test_safe_text_with_numbers","tests","2026-08-05","passed","2026-08-05","TestMaliciousPatterns","test_validation","",""
"","2","test_send_order_to_manager_keeps_order_metadata_when_telegram_fails","tests","2026-08-05","passed","2026-08-05","","test_router","",""
"","1","test_case_insensitive","tests","2026-08-05","passed","2026-08-05","TestExtractOrderId","test_admin","",""
"","0","test_country_code_parametrized[pl]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_valid_country_code_ru","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"","0","test_custom_type","tests","2026-08-05","passed","2026-08-05","TestFieldConstructor","test_validation","",""
"","0","test_calculate_total_with_delivery","tests","2026-08-05","passed","2026-08-05","TestPricing","test_services","",""
"","14","test_create_and_get_order","tests","2026-08-05","passed","2026-08-05","TestOrderManager","test_services","",""
"","0","test_invalid_text_rejected[sql_injection]","tests","2026-08-05","passed","2026-08-05","TestTextEquivalenceClasses","test_validation","",""
"","1","test_optional_text_hint","tests","2026-08-05","passed","2026-08-05","TestFieldTypeHint","test_validation","",""
"Verify get_all_templates returns list of (code, name) tuples.","0","test_returns_list_of_tuples","tests","2026-08-05","passed","2026-08-05","TestGetAllTemplates","test_business_config","",""
"","0","test_delivery_price_pln","tests","2026-08-05","passed","2026-08-05","TestPricing","test_services","",""
"","0","test_invalid_date_rejected[feb29_nonleap]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"Verify get_price_pln returns a positive integer for known codes.","0","test_get_price_pln_returns_positive_int","tests","2026-08-05","passed","2026-08-05","TestTemplatePricing","test_documents","",""
"","0","test_has_malicious_patterns_parametrized[sql_union]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_invalid_date_rejected[day_over_31]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"Verify each state returns a unique object.","0","test_admin_states_are_unique","tests","2026-08-05","passed","2026-08-05","TestAdminStates","test_states","",""
"Verify get() handles keyword arguments in translation.","1","test_get_with_kwargs","tests","2026-08-05","passed","2026-08-05","TestI18n","test_i18n","",""
"","0","test_has_malicious_patterns_parametrized[xss_javascript]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Full integration: document → quantity → fields → delivery → payment → proof.

    Verifies:
    - FSM state transitions at each step.
    - Order and order_items are persisted to the database with correct data.
    - Manager receives a message with order details (via MockBot).
    - User receives a final message containing the order number.
    ","33","test_integration_full_order_flow","tests","2026-08-05","passed","2026-08-05","","test_integration","",""
"","0","test_country_code_lowercase_normalized","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Verify 'help_manager' forwards request to manager chat.","1","test_help_manager_forwards_to_manager","tests","2026-08-05","passed","2026-08-05","TestCallbackHelpManager","test_start","",""
"Verify unknown order shows error.","1","test_process_unknown_order","tests","2026-08-05","passed","2026-08-05","TestProcessDocumentFile","test_admin","",""
"","1","test_valid_date_accepted[leap_feb29]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"Verify get_template returns None for an unknown code.","1","test_returns_none_for_unknown_code","tests","2026-08-05","passed","2026-08-05","TestGetTemplate","test_business_config","",""
"","0","test_date_month_out_of_range","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Verify unsupported language falls back to 'en'.","0","test_fallback_to_default","tests","2026-08-05","passed","2026-08-05","TestUserLanguage","test_i18n","",""
"","0","test_invalid_date_format","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Verify no crash when message has no bot attribute.","0","test_does_not_crash_without_bot","tests","2026-08-05","passed","2026-08-05","TestNotifyAdminValidationError","test_order_coverage","",""
"Test selecting a ""Visa application"" document.

    Verifies:
        - Message text contains the template name (English)
        - Message text contains the price (EUR)
        - FSM state is set to entering_quantity
    ","1","test_callback_document_choice_visa","tests","2026-08-05","passed","2026-08-05","","test_order","",""
"","0","test_has_malicious_patterns_parametrized[xss_script]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Verify two generated IDs are different.","5","test_generates_unique_ids","tests","2026-08-05","passed","2026-08-05","TestGenerateOrderId","test_order_coverage","",""
"Verify get_price_pln returns 0 for unknown code.","0","test_returns_zero_for_unknown_code","tests","2026-08-05","passed","2026-08-05","TestGetPricePln","test_business_config","",""
"Verify is_admin returns False for empty username.","1","test_empty_username","tests","2026-08-05","passed","2026-08-05","TestIsAdmin","test_auth","",""
"Verify 'cancel_to_menu' clears state and shows main menu.","0","test_cancel_to_menu_clears_state_and_shows_menu","tests","2026-08-05","passed","2026-08-05","TestCallbackCancelToMenu","test_start","",""
"","1","test_invalid_country_code_rejected[not_allowed]","tests","2026-08-05","passed","2026-08-05","TestCountryCodeEquivalenceClasses","test_validation","",""
"","0","test_has_malicious_patterns_parametrized[cmd_pipe]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_country_code_parametrized[not_allowed]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"Verify missing payment method shows error.","1","test_rejects_missing_payment_method","tests","2026-08-05","passed","2026-08-05","TestProcessPaymentProof","test_order_coverage","",""
"","0","test_has_malicious_patterns_parametrized[safe_numbers]","tests","2026-08-05","passed","2026-08-05","","test_validation_parametrized","",""
"","0","test_valid_date_accepted[nonleap_feb28]","tests","2026-08-05","passed","2026-08-05","TestDateEquivalenceClasses","test_validation","",""
"Verify ROUTING dict has 'default' key.","0","test_routing_has_default","tests","2026-08-05","passed","2026-08-05","TestConfigValues","test_config","",""
"Fast-order free text is sanitized before forwarding to the manager.","1","test_fast_order_text_is_sanitized","tests","2026-08-05","passed","2026-08-05","TestDeliveryAndFastOrderSanitization","test_security","",""
"truncate_for_storage never returns more than the column size.","0","test_truncate_for_storage_caps_at_db_column_size","tests","2026-08-05","passed","2026-08-05","TestLongInput","test_security","",""
"","0","test_passport_number_with_allowed_chars","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Verify get_price_eur returns a positive integer for known codes.","0","test_returns_positive_int_for_known_code","tests","2026-08-05","passed","2026-08-05","TestGetPriceEur","test_business_config","",""
"","0","test_normalizes_internal_spaces","tests","2026-08-05","passed","2026-08-05","TestSanitizeText","test_validation","",""
"Verify get_all_templates returns a list.","0","test_returns_list","tests","2026-08-05","passed","2026-08-05","TestGetAllTemplates","test_documents","",""
"","1","test_valid_text_accepted[valid_two_words]","tests","2026-08-05","passed","2026-08-05","TestTextEquivalenceClasses","test_validation","",""
"","0","test_delivery_price_eur","tests","2026-08-05","passed","2026-08-05","TestPricing","test_services","",""
"Verify FSM transitions to choosing_payment.","0","test_sets_state_to_choosing_payment","tests","2026-08-05","passed","2026-08-05","TestSaveDelivery","test_order_coverage","",""
"The manager notification must not contain a clickable link.","1","test_manager_message_contains_escaped_link","tests","2026-08-05","passed","2026-08-05","TestMarkdownInjection","test_security","",""
"Verify callback sets FSM state and stores order_id.","1","test_callback_send_doc_sets_state","tests","2026-08-05","passed","2026-08-05","TestCallbackSendDoc","test_admin","",""
"Verify back keyboard has one back button.","0","test_back_keyboard_has_back_button","tests","2026-08-05","passed","2026-08-05","TestBackKeyboard","test_buttons","",""
"Verify get_template('visa') returns a dict with expected keys.","0","test_returns_dict_for_visa","tests","2026-08-05","passed","2026-08-05","TestGetTemplate","test_documents","",""
"Single-word codes like ``doc_visa`` must still work after the fix.","1","test_process_document_choice_single_word_code","tests","2026-08-05","passed","2026-08-05","","test_fixes","",""
"A crafted email field with SQL syntax is stored without execution.","8","test_sql_injection_in_delivery_email_stored_as_is","tests","2026-08-05","passed","2026-08-05","TestSQLInjection","test_security","",""
"","0","test_invalid_email_no_domain","tests","2026-08-05","passed","2026-08-05","TestValidateFieldValue","test_validation","",""
"Optional smoke test: call ``getMe`` on the real Bot API.

    This test runs **only** when ``--with-real-api`` is passed on the
    CLI *and* ``api.telegram.org`` is reachable *and* a real ``BOT_TOKEN``
    is set.  In all other cases it is skipped.
    ","1","test_telegram_getme","tests","2026-08-05","skipped","2026-08-05","","test_telegram_connectivity","",""
"Verify 'new_order' shows document list.","1","test_new_order_shows_document_selection","tests","2026-08-05","passed","2026-08-05","TestCallbackNewOrder","test_start","",""
"Verify confirm keyboard has yes/no buttons.","0","test_confirm_keyboard_has_yes_no","tests","2026-08-05","passed","2026-08-05","TestConfirmKeyboard","test_buttons","",""
"Verify document type can be found by code.","12","test_get_document_type_by_code","tests","2026-08-05","passed","2026-08-05","TestDocumentTypeCRUD","test_crud","",""
"","0","test_valid_phone_accepted[min_boundary]","tests","2026-08-05","passed","2026-08-05","TestPhoneEquivalenceClasses","test_validation","",""
"Verify that ``api.telegram.org`` resolves to at least one IP address.

    This test **never** makes an HTTP request — only a DNS lookup followed
    by a TCP connect socket check.  It is safe to run in fully offline
    environments: it will simply return ``False`` and log the outcome
    without failing.

    The test always passes.  Its real value is the *side-effect*: the
    session-scoped ``telegram_available`` fixture reuses the same
    ``_telegram_api_reachable()`` helper and records the result for every
    other test in the suite.
    ","154","test_telegram_api_dns_resolves","tests","2026-08-05","passed","2026-08-05","","test_telegram_connectivity","",""
"Verify DESTINATION_COUNTRIES is derived from COUNTRY_CODES keys.","0","test_destination_countries_matches_country_codes","tests","2026-08-05","passed","2026-08-05","TestConstants","test_business_config","",""
"Verify delivery with minimum 3 lines is accepted.","1","test_accepts_minimal_delivery","tests","2026-08-05","passed","2026-08-05","TestSaveDelivery","test_order_coverage","",""
"A DROP TABLE attempt must be saved as plain text, not executed.","14","test_sql_injection_stored_as_is","tests","2026-08-05","passed","2026-08-05","TestSQLInjection","test_security","",""
